"chaineid","Nom","Code","Numéro","parcours","year","label","Bilan ajouter",,"ajout1","ajout2",,,,,,,,,,,
"math*agreg*Agreg Ext.","M2 MATHS ET APPLICATIONS -MATHS GENERALES - GM","MAMA52",28433,"math","agreg","Agreg Ext.",,,,,,,,,,,,,,,
"math*m2*M2 ISIFAR","M2 MATHS ET APPLICATIONS : ISIFAR - GM","MAMA12",28329,"math","m2","M2 ISIFAR",,,,,,,,,,,,,,,
"mathens*m2*M2 MEEF","M2 MEEF - MATHEMATIQUES - GM","MASD52",28494,"mathens","m2","M2 MEEF",,,,,,,,,,,,,,,
"math*agreg*Agreg Int.","PREPARATION AGREGATION MATHEMATIQUES INTERNE",,55515,"math","agreg","Agreg Int.",,,,,,,,,,,,,,,
"","M2 ENSEIGNANTS",,61259,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,
"","Anglais L3 MIASHS","H48-ELA6E040",37880,,,,,,,,,,,,,,,,,,
"","Anglais L3 MIASHS TD01","ELA6E040-TD01",37881,,,,,,,,,,,,,,,,,,
"","Anglais L3 MIASHS TD02","ELA6E040-TD02",37882,,,,,,,,,,,,,,,,,,
"","Anglais L3 MIASHS TD03","ELA6E040-TD03",37883,,,,,,,,,,,,,,,,,,
"","Anglais L3 MIASHS TD04","ELA6E040-TD04",37884,,,,,,,,,,,,,,,,,,
"","Anglais L3 Maths","H48-ELA5E060",37843,,,,,,,,,,,,,,,,,,
"","Anglais L3 Maths TD01","ELA5E060-TD01",37846,,,,,,,,,,,,,,,,,,
"","Anglais L3 Maths TD02","ELA5E060-TD02",37845,,,,,,,,,,,,,,,,,,
"","Anglais L3 Maths TD03","ELA5E060-TD03",37847,,,,,,,,,,,,,,,,,,
"","Anglais L3 Maths TD04","ELA5E060-TD04",37844,,,,,,,,,,,,,,,,,,
"","Anglais M1 ISIFAR","H48-ELAAE100",37674,,,,,,,,,,,,,,,,,,
"","Anglais M1 ISIFAR TD01","ELAAE100-TD01",37675,,,,,,,,,,,,,,,,,,
"","Anglais M1 ISIFAR","H48-ELABE080",37715,,,,,,,,,,,,,,,,,,
"","Anglais M1 ISIFAR TD01","ELABE080-TD01",37716,,,,,,,,,,,,,,,,,,
"","Anglais M1 Maths et applications","H48-ELAAE110",37676,,,,,,,,,,,,,,,,,,
"","Anglais M1 Maths et applications TD01","ELAAE110-TD01",37677,,,,,,,,,,,,,,,,,,
"","Anglais M1 Maths et applications","H48-ELABE090",37717,,,,,,,,,,,,,,,,,,
"","Anglais M1 Maths et applications TD01","ELABE090-TD01",37718,,,,,,,,,,,,,,,,,,
"","Anglais M2 Maths et Applications","H48-ELACE150",37760,,,,,,,,,,,,,,,,,,
"","Anglais M2 Maths et Applications TD01","ELACE150-TD01",37761,,,,,,,,,,,,,,,,,,
"","Anglais M2 didactiques des sciences","H48-ELADE050",37776,,,,,,,,,,,,,,,,,,
"","Anglais M2 didactiques des sciences TD01","ELADE050-TD01",37777,,,,,,,,,,,,,,,,,,
"","Anglais Spe L2 Sciences Exactes","H48-ELA4E030",37815,,,,,,,,,,,,,,,,,,
"","Anglais Spe L2 Sciences Exactes TD01","ELA4E030-TD01",37818,,,,,,,,,,,,,,,,,,
"","Anglais Spe L2 Sciences Exactes TD02","ELA4E030-TD02",37819,,,,,,,,,,,,,,,,,,
"","Anglais Spe L2 Sciences Exactes TD03","ELA4E030-TD03",37817,,,,,,,,,,,,,,,,,,
"","Anglais Spe L2 Sciences Exactes TD04","ELA4E030-TD04",37816,,,,,,,,,,,,,,,,,,
"","Anglais Spe L2 Sciences Exactes TD05","ELA4E030-TD05",37820,,,,,,,,,,,,,,,,,,
"","Anglais de Specialite Licence 2","H48-ELA3E040",37789,,,,,,,,,,,,,,,,,,
"","Anglais de Specialite Licence 2 TD07","ELA3E040-TD07",37798,,,,,,,,,,,,,,,,,,
"","Anglais de Specialite Licence 2 TD08","ELA3E040-TD08",37792,,,,,,,,,,,,,,,,,,
"","Anglais de Specialite Licence 2 TD09","ELA3E040-TD09",37794,,,,,,,,,,,,,,,,,,
"","Anglais de Specialite Licence 2 TD10","ELA3E040-TD10",37797,,,,,,,,,,,,,,,,,,
"","Anglais de Specialite Licence 2 TD11","ELA3E040-TD11",37795,,,,,,,,,,,,,,,,,,
"","Anglais de Specialite Licence 2 TD12","ELA3E040-TD12",37796,,,,,,,,,,,,,,,,,,
"","ETALON",,58598,,,,,,,,,,,,,,,,,,
"","L1 DL MATHS-PHYSIQUE",,61536,,,,,,,,,,,,,,,,,,
"","L1 MATHEMATIQUES - MATHEMATIQUES/INFORMATIQUE (DL) - GM","LGMT31",47478,,,,,,,,,,,,,,,,,,
"","L1 MATHEMATIQUES - MATHS FONDAMENTALES ET APPLIQUEES - GM","LGMT11",47080,,,,,,,,,,,,,,,,,,
"","L1 MATHEMATIQUES PARCOURS ALGORITHMES ET DECISIONS","LGMT81",47483,,,,,,,,,,,,,,,,,,
"","L1 MIASHS - Campus GM","LGMA01",46870,,,,,,,,,,,,,,,,,,
"","L2 DL MATHS-PHYSIQUE",,61537,,,,,,,,,,,,,,,,,,
"","L2 MATHEMATIQUES - MATHEMATIQUES/INFORMATIQUE (DL) - GM","LGMT32",22096,,,,,,,,,,,,,,,,,,
"","L2 MATHEMATIQUES - MATHS FONDAMENTALES ET APPLIQUEES - GM","LGMT12",47233,,,,,,,,,,,,,,,,,,
"","L2 MATHEMATIQUES PARCOURS ALGORITHMES ET DECISIONS","LGMT82",47489,,,,,,,,,,,,,,,,,,
"","L2 MIASHS - Campus GM","LGMA02",46918,,,,,,,,,,,,,,,,,,
"","L3 DL MATHS-PHYSIQUE",,61463,,,,,,,,,,,,,,,,,,
"","L3 INGE MATHS",,22145,,,,,,,,,,,,,,,,,,
"","L3 MATHEMATIQUES - MATHEMATIQUES POUR L'ENSEIGNEMENT - GM","LGMT23",47465,,,,,,,,,,,,,,,,,,
"","L3 MATHEMATIQUES - MATHEMATIQUES/INFORMATIQUE (DL) - GM","LGMT33",22133,,,,,,,,,,,,,,,,,,
"","L3 MATHEMATIQUES - MATHS FONDAMENTALES ET APPLIQUEES - GM","LGMT13",47347,,,,,,,,,,,,,,,,,,
"math*l3*metis","L3 METIS",,60915,"math","l3","metis",,,,,,,,,,,,,,,
